salesperson_id,product_id,state,city,latitude,longitude,shiptonumber,customer_id,company_id,source_id,price,metric,tons,mode_id,terms,ship_start,completed
8,3,NE,PLATTSMOUTH,41.0113881,-95.8822312,204630,29,34,558,150,$/st,150,2,FOB,Aug-17,no
8,3,NE,PILGER,42.0086158,-97.0539311,215321,29,34,558,150,$/st,54,2,DEL,Aug-17,yes
8,3,SD,DELMONT,43.2674898,-98.1622978,202201,29,34,558,150,$/st,40,2,FOB,Aug-17,yes
8,3,SD,FLANDREAU,44.0494154,-96.595324,217420,29,34,558,150,$/st,40,2,DEL,Aug-17,no
3,3,KS,ULYSSES,37.5814095,-101.3551696,201962,121,34,560,143.98,$/st,158,2,DEL,Aug-17,no
3,3,OK,BOISE CITY,36.7294675,-102.5132419,215906,32,34,560,145,$/st,55,2,DEL,Aug-17,yes
3,3,NE,FREMONT,41.4333328,-96.4980807,100677,226,34,558,150,$/st,26,2,FOB,Aug-17,yes
3,3,NE,ORCHARD,42.3355602,-98.242852,100470,128,34,558,150,$/st,126,2,FOB,Aug-17,no
3,3,CO,WALSH,37.3861271,-102.2782394,214787,649,34,560,145,$/st,26,2,FOB,Aug-17,no
3,3,NE,ELGIN,41.9833412,-98.0836773,203611,31,34,558,150,$/st,359,2,DEL,Aug-17,yes
3,3,NE,O NEILL,42.4577811,-98.6475872,203607,31,34,558,150,$/st,60,2,FOB,Aug-17,no
9,3,OK,CARTER,35.2189409,-99.5056465,214543,277,34,560,145,$/st,56,2,DEL,Aug-17,yes
9,3,OK,CASHION,35.7981025,-97.6786573,100620,176,34,560,145,$/st,52,2,FOB,Aug-17,yes
3,3,KS,IUKA,37.7291841,-98.7350909,100129,147,34,560,145,$/st,25,2,DEL,Aug-17,no
3,3,NE,EMMET,42.4755589,-98.8062032,100895,607,34,558,150,$/st,114,2,DEL,Aug-17,no
8,3,IA,CHEROKEE,42.7494277,-95.551674,100009,296,34,558,150,$/st,157,2,FOB,Aug-17,yes
24,3,NE,AINSWORTH,42.5499993,-99.8626236,100386,1,34,558,150,$/st,25,2,FOB,Aug-17,no
24,3,NE,STUART,42.5991677,-99.1426014,100736,1,34,558,150,$/st,27,2,FOB,Aug-17,yes
24,3,SD,FAIRFAX,43.027497,-98.8884228,206959,1,34,558,150,$/st,44,2,FOB,Aug-17,no
24,3,SD,FREEMAN,43.3524871,-97.4372863,206965,1,34,558,150,$/st,110,2,FOB,Aug-17,no
24,3,SD,MENNO,43.2397131,-97.5778442,206962,1,34,558,150,$/st,82,2,DEL,Aug-17,no
24,3,SD,WINNER,43.3766665,-99.8590069,217784,1,34,558,150,$/st,23,2,DEL,Aug-17,no
2,3,AZ,BUCKEYE,33.3703197,-112.5837766,215423,715,34,556,118.29,$/st,487,1,DEL,Aug-17,no
5,3,TX,TEXLINE,36.3778066,-103.0240968,100503,81,34,557,130,$/st,484,1,DEL,Aug-17,yes
5,3,TX,DALHART,36.0594772,-102.5132497,206506,81,34,557,130.09,$/st,490,1,DEL,Aug-17,no
5,3,TX,TEXLINE,36.3778066,-103.0240968,100503,81,34,560,145,$/st,24,2,DEL,Aug-17,no
3,3,CO,BURLINGTON,39.3061082,-102.2693563,213074,218,34,564,170,$/st,25,2,DEL,Aug-17,yes
3,3,CO,WRAY,40.0758231,-102.2232495,201563,218,34,564,170,$/st,51,2,FOB,Aug-17,no
8,3,MO,ROCK PORT,40.4111122,-95.5169286,100413,253,34,605,165.01,$/st,123,2,FOB,Aug-17,yes
19,3,MI,PIGEON,43.8300151,-83.2699553,100543,171,34,562,155,$/st,275,2,DEL,Aug-17,no
10,3,MN,CANNON FALLS,44.5069113,-92.905484,202112,597,34,563,170.29,$/st,45,2,FOB,Aug-17,yes
10,3,MN,NERSTRAND,44.3419094,-93.0679881,101332,597,34,563,170.29,$/st,44,2,DEL,Aug-17,no
1,3,OK,ALTUS,34.6381255,-99.3339754,211533,41,34,560,145,$/st,27,2,FOB,Aug-17,no
20,3,BC,VICTORIA,48.43,-123.37,217015,220,34,556,144.61,$/st,196,1,FOB,Aug-17,yes
4,3,IL,MATTOON,39.4830897,-88.3728255,210998,11,34,565,148,$/st,50,2,DEL,Aug-17,yes
9,3,OK,HOBART,35.0295009,-99.0931317,206456,277,34,560,145,$/st,28,2,DEL,Aug-17,no
1,3,AL,SELMA,32.4073589,-87.0211007,216474,109,34,561,125,$/st,156,2,FOB,Aug-17,no
1,3,KS,ISABEL,37.4666865,-98.550361,217875,84,34,560,145,$/st,78,2,FOB,Aug-17,yes
1,3,TX,SEMINOLE,32.7189926,-102.6449101,216596,23,34,560,145,$/st,51,2,DEL,Aug-17,yes
1,3,NM,SANTA TERESA,31.8559384,-106.6391577,216968,23,34,556,120.33,$/st,394,1,FOB,Aug-17,no
2,1,ID,MOSCOW,46.7323875,-117.0001651,210104,298,34,603,365,$/st,25,2,FOB,Aug-17,yes
4,3,NE,BRUNSWICK,42.3377827,-97.9706228,201006,11,34,558,150,$/st,51,2,FOB,Aug-17,yes
4,3,NE,WAYNE,42.2305588,-97.0178236,211896,11,34,558,150,$/st,80,2,FOB,Aug-17,yes
2,3,CA,FRESNO,36.7477272,-119.7723661,218692,440,34,602,185,$/st,52,2,FOB,Aug-17,no
13,3,SD,YANKTON,42.8711088,-97.3972813,217862,124,34,558,155,$/st,25,2,DEL,Aug-17,no
4,3,MN,ROYALTON,45.8299654,-94.2936093,200989,11,34,563,170,$/st,52,2,DEL,Aug-17,yes
5,3,OK,MADILL,34.0903752,-96.7716691,100361,5,34,557,145,$/st,26,2,FOB,Aug-17,yes
24,3,NE,BENKELMAN,40.0491615,-101.5329443,200377,1,34,557,124.83,$/st,"8,763",#N/A,FOB,Aug-17,no
2,3,CA,SALINAS,36.6777372,-121.6555013,202686,166,34,602,185,$/st,27,2,FOB,Aug-17,no
4,3,SD,MADISON,44.0060847,-97.1139496,201088,11,34,558,160.11,$/st,39,2,DEL,Aug-17,yes
9,2,NM,SANTA TERESA,31.8559384,-106.6391577,216968,734,34,556,197.93,$/st,99,1,FOB,Aug-17,yes
3,3,NE,GIBBON,40.7483472,-98.8448009,216580,1,34,564,170,$/st,26,2,FOB,Aug-17,yes
3,3,NE,BROKEN BOW,41.4019509,-99.6392794,210311,1,34,564,170,$/st,52,2,DEL,Aug-17,no
3,3,NE,SPALDING,41.6889002,-98.363404,210315,1,34,564,170,$/st,52,2,DEL,Aug-17,no
3,3,NE,ARCADIA,41.4233426,-99.126204,100788,1,34,564,170,$/st,26,2,DEL,Aug-17,yes
1,4,TX,LONGVIEW,32.5007038,-94.7404891,202011,232,34,561,200,$/st,25,2,DEL,Aug-17,yes
3,3,NE,GRAND ISLAND,40.9250123,-98.3420068,218662,84,34,564,170,$/st,25,2,DEL,Aug-17,no
3,3,NE,HERSHEY,41.1586079,-101.002652,201567,218,34,564,170,$/st,50,2,FOB,Aug-17,yes
1,4,MS,COMO,34.5106609,-89.9398117,216562,254,34,561,200,$/st,24,2,FOB,Aug-17,no
1,4,TX,BOWIE,33.5589953,-97.8486457,208766,232,34,561,200,$/st,23,2,FOB,Aug-17,no
13,3,MN,NORTH BRANCH,45.5113515,-92.9802176,100491,341,34,563,170,$/st,22,2,FOB,Aug-17,yes
